Larval_ID,Sex,Family,Full_Treatment,Photo_Treatment,Diet_Treatment,5th_Day,Photo_Day,Blocking_Day,Devo_Time,Eclosion_Date,Devo_Time2,Gray_Value_R,Gray_Value_G,Gray_Value_B,Avg_Gray,Avg_Gray_2,Darkness,Percent_R,Percent_G,Percent_B,Avg_Percent,Avg_Percent_Melanin,Total_Melanin_Metric,Notes
T169,F,37,LongPhotoLowTyr,Long,Low,6/1/23,6/4/23,6/10/23,9,7/4/23,24,16.831,16.125,17.931,16.962,16.478,12.522,5.451,5.296,9.487,6.745,5.374,84.457,"pupa short wings, used photo c"
T170,F,37,LongPhotoLowTyr,Long,Low,6/2/23,6/5/23,6/10/23,8,7/3/23,23,12.983,12.752,17.850,14.528,12.868,16.133,8.856,9.088,20.355,12.766,8.972,205.953,"pupa short wings, used photo a"
T171,M,37,LongPhotoLowTyr,Long,Low,6/2/23,6/5/23,6/9/23,7,7/4/23,25,19.460,19.203,18.603,19.089,19.332,9.669,9.054,9.301,13.561,10.639,9.178,102.860,"pupa short wings, used photo b"
T172,M,37,LongPhotoLowTyr,Long,Low,6/3/23,6/6/23,6/11/23,8,7/3/23,22,14.261,14.008,14.657,14.309,14.135,14.866,15.208,15.468,21.585,17.420,15.338,258.962,used photo c
T173,M,37,LongPhotoLowTyr,Long,Low,6/4/23,6/6/23,6/12/23,8,7/4/23,22,15.661,15.345,15.339,15.448,15.503,13.497,22.605,23.797,32.610,26.337,23.201,355.475,"pupa short wings, uses photo b"
T174,,24,LongPhotoLowTyr,Long,Low,6/4/23,6/6/23,6/13/23,9,,,14.320,14.102,16.927,15.116,14.211,14.789,13.634,13.926,24.217,17.259,13.780,255.243,pupa severe deform
T201,,24,LongPhotoHighTyr,Long,High,5/25/23,5/28/23,,,,,13.557,13.145,15.918,14.207,13.351,15.649,10.577,10.538,16.854,12.656,10.558,198.059,
T202,,25,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,,,,,15.132,14.912,15.833,15.292,15.022,13.978,17.510,17.666,24.972,20.049,17.588,280.250,
T203,,25,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,,,,,13.455,13.431,13.827,13.571,13.443,15.557,20.448,20.832,26.808,22.696,20.640,353.082,
T204,,24,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,,,,,14.727,14.546,16.107,15.127,14.637,14.364,13.960,14.167,21.580,16.569,14.064,237.989,
T205,,27,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,,,,,15.359,15.185,15.051,15.198,15.272,13.728,17.270,17.648,23.281,19.400,17.459,266.319,
T206,,27,LongPhotoHighTyr,Long,High,5/26/23,5/28/23,,,,,14.023,13.485,18.156,15.221,13.754,15.246,7.934,7.810,15.893,10.546,7.872,160.779,
T207,,27,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,,,,,16.269,15.948,18.954,17.057,16.109,12.892,6.372,6.439,12.305,8.372,6.406,107.928,
T208,,27,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,,,,,17.573,16.624,19.543,17.913,17.099,11.902,3.968,3.974,8.326,5.423,3.971,64.538,
T209,F,27,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,6/2/23,7,6/25/23,23,16.144,15.530,15.909,15.861,15.837,13.163,6.017,5.924,8.560,6.834,5.971,89.952,pupa deformed
T210,F,27,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,6/1/23,6,6/25/23,24,15.160,14.603,17.911,15.891,14.882,14.119,10.940,10.716,19.161,13.606,10.828,192.092,pupa short wings
T211,M,27,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,6/2/23,7,6/25/23,23,15.146,14.437,18.423,16.002,14.792,14.209,8.156,7.921,16.067,10.715,8.039,152.239,
T212,F,27,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,6/2/23,7,6/25/23,23,17.408,16.662,17.988,17.353,17.035,11.965,5.273,4.930,8.243,6.149,5.102,73.569,
T213,F,27,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,6/2/23,7,6/25/23,23,14.439,13.563,17.695,15.232,14.001,14.999,7.863,7.367,13.702,9.644,7.615,144.650,
T214,,34,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,,,,,14.813,14.221,16.382,15.139,14.517,14.483,11.675,11.363,17.451,13.496,11.519,195.467,
T215,,34,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,,,,,13.675,13.173,15.543,14.130,13.424,15.576,12.911,12.522,18.576,14.670,12.717,228.495,
T216,F,27,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,6/4/23,9,6/27/23,23,15.515,15.195,17.204,15.971,15.355,13.645,9.854,10.176,16.568,12.199,10.015,166.460,
T217,,25,LongPhotoHighTyr,Long,High,5/26/23,5/29/23,,,,,13.739,13.450,16.879,14.689,13.595,15.406,11.116,11.513,20.060,14.230,11.315,219.215,
T218,,24,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,,,,,15.045,14.493,17.780,15.773,14.769,14.231,11.830,11.963,22.726,15.506,11.897,220.671,
T219,,25,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,,,,,15.630,15.395,15.587,15.537,15.513,13.488,23.934,24.367,32.165,26.822,24.151,361.762,
T220,F,25,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,6/3/23,7,6/27/23,24,14.966,14.687,16.714,15.456,14.827,14.174,8.516,8.781,14.029,10.442,8.649,148.000,"pupa short wings, used photo c"
T221,,25,LongPhotoHighTyr,Long,High,5/27/23,5/29/23,,,,,14.128,13.595,16.109,14.611,13.862,15.139,8.675,9.462,15.657,11.265,9.069,170.530,
T222,F,25,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,6/3/23,7,6/29/23,26,14.489,14.442,16.645,15.192,14.466,14.535,8.790,8.785,14.400,10.658,8.788,154.914,pupa severe deform
T223,F,34,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,6/3/23,7,6/27/23,24,14.191,13.505,16.102,14.599,13.848,15.152,15.863,15.138,23.945,18.315,15.501,277.514,pupa deformed
T224,M,34,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,6/3/23,7,6/28/23,25,12.621,12.428,12.532,12.527,12.525,16.476,21.199,21.291,27.049,23.180,21.245,381.897,pupa short wings
T225,M,34,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,6/3/23,7,6/27/23,24,13.037,12.614,13.730,13.127,12.826,16.175,25.627,25.278,34.592,28.499,25.453,460.957,pupa short wings
T226,,33,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,,,,,18.384,17.824,20.479,18.896,18.104,10.896,6.264,6.740,16.656,9.887,6.502,107.725,used photo a
T227,,33,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,,,,,15.207,14.930,17.664,15.934,15.069,13.932,7.572,7.881,14.261,9.905,7.727,137.987,
T228,,33,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,,,,,13.715,13.482,15.806,14.334,13.599,15.402,9.374,9.612,15.010,11.332,9.493,174.530,
T229,M,33,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,6/4/23,8,6/27/23,23,14.746,14.395,15.523,14.888,14.571,14.430,9.323,9.763,14.304,11.130,9.543,160.600,used photo b
T230,M,34,LongPhotoHighTyr,Long,High,5/27/23,5/30/23,6/3/23,7,6/26/23,23,17.314,16.867,17.632,17.271,17.091,11.910,5.405,5.759,9.204,6.789,5.582,80.858,"pupa short wings, used photo a"
