ID,diet_treatment,egg_day,4th_mass_before ,4th_mass_after,4th_mass_change,4th_food_before,4th_food_after,4th_food_change,4th_food_dry,5th_day,5th_mass_before,5th_mass_after,5th_mass_change,5th_food_before,5th_food_after,5th_food_change,5th_food_dry,photo_day,photo_mass,blocking_day,devo_total,devo_5th,blocking_mass,larval_notes,R_percent,G_percent,B_percent,avg_percent_noB,avg_percent,R_gray,G_gray,B_gray,avg_gray,avg_gray_noB,darkness,darkness_noB,melanin_metric,melanin_metric_noB,photo_notes
153,LOW,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.4497,2/14/23,34.00,11.00,2.4644,,67.53,68.50,73.45,68.02,69.83,13.63,13.76,12.86,13.42,13.70,21.58,21.31,1507.09,1449.06,use photo B
154,LOW,1/11/23,,,,,,,,2/4/23,688.7,933.4,244.7,2824.3,2087.3,737,531.8,2/9/23,1.7847,2/15/23,35.00,11.00,2.0073,,67.09,67.88,73.34,67.49,69.44,15.37,15.36,14.07,14.93,15.37,20.07,19.64,1393.36,1325.07,
155,LOW,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.6542,2/16/23,36.00,13.00,2.4098,,63.00,63.90,68.38,63.45,65.09,15.40,15.39,14.24,15.01,15.40,19.99,19.61,1301.22,1243.94,
156,LOW,1/11/23,,,,,,,,2/4/23,1799,2463.5,664.5,3115.2,1424.4,1690.8,339.9,2/9/23,4.215,2/14/23,34.00,10.00,3.5236,,78.92,79.43,82.07,79.18,80.14,11.73,12.04,10.61,11.46,11.89,23.54,23.12,1886.50,1830.13,
157,LOW,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,3.9087,14-Feb,34.00,11.00,3.023,,73.69,73.51,77.93,73.60,75.04,13.76,13.90,13.17,13.61,13.83,21.39,21.17,1605.18,1558.11,
158,LOW,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,2.5216,13-Feb,33.00,10.00,2.1611,,67.82,68.52,71.37,68.17,69.24,12.89,12.86,11.83,12.53,12.88,22.47,22.13,1555.98,1508.26,use photo B
159,LOW,1/11/23,,,,,,,,2/4/23,,,,,,,,2/9/23,2.7507,2/17/23,37.00,13.00,2.5139,,82.13,82.54,84.39,82.34,83.02,14.12,14.24,12.91,13.76,14.18,21.24,20.82,1763.62,1714.21,
160,LOW,1/11/23,,,,,,,,,,,,,,,,,,,,,,not growing,,,,,,,,,,,,,,,
161,LOW,1/11/23,,,,,,,,2/3/23,,,,,,,,2/8/23,3.2287,2/14/23,34.00,11.00,2.5693,,74.75,75.37,78.58,75.06,76.23,13.73,13.79,12.64,13.39,13.76,21.61,21.24,1647.66,1594.27,use photo D
201,MEDIUM,1/9/23,120.2,185.8,65.6,2214.8,1982.1,232.7,507.9,2/3/23,,,,,,,,2/8/23,2.4777,2/18/23,40.00,15.00,2.4132,,79.09,79.94,83.26,79.52,80.76,11.21,11.31,10.22,10.91,11.26,24.09,23.74,1945.32,1887.69,
202,MEDIUM,1/9/23,130.5,195.9,65.4,2125.4,1836.7,288.7,464.3,2/2/23,938.2,1292,353.8,2956.3,1938.1,1018.2,498.6,2/7/23,2.4756,2/14/23,36.00,12.00,2.4271,,79.03,80.08,83.67,79.56,80.93,11.45,11.42,10.26,11.04,11.44,23.96,23.57,1938.73,1874.71,used photo B
203,MEDIUM,1/9/23,135.3,131,-4.3,2168.7,2116.8,51.9,525,2/5/23,786,970.2,184.2,3125,2488.1,636.9,661.7,2/10/23,1.8638,2/19/23,41.00,14.00,2.2166,,80.45,81.43,85.35,80.94,82.41,12.23,12.28,11.23,11.91,12.26,23.09,22.75,1902.57,1840.98,
204,MEDIUM,1/9/23,104.1,144.9,40.8,2339.8,2168.2,171.6,543.3,2/5/23,713.8,943.8,230,3123.6,2479.4,644.2,653.5,2/10/23,1.936,2/18/23,40.00,13.00,2.2985,,78.10,79.27,83.26,78.69,80.21,12.22,12.20,10.95,11.79,12.21,23.21,22.79,1861.67,1793.23,
205,MEDIUM,1/9/23,70.6,118.1,47.5,1954.9,1783.3,171.6,450,2/4/23,778.3,949.7,171.4,2661.7,2023.4,638.3,508.1,2/9/23,1.4641,2/17/23,39.00,13.00,1.8358,,70.93,72.21,76.68,71.57,73.27,14.62,14.73,13.77,14.37,14.68,20.63,20.33,1511.38,1454.66,used photo D
206,MEDIUM,1/10/23,122.9,165.2,42.3,1848,1635.4,212.6,411.1,2/4/23,823.3,1116.5,293.2,2519.2,1694,825.2,430.2,2/9/23,2.1355,2/17/23,38.00,13.00,2.2797,,79.61,80.55,83.80,80.08,81.32,13.20,13.11,11.69,12.67,13.16,22.33,21.85,1816.15,1749.35,used OG photo
207,MEDIUM,1/10/23,72.4,99.6,27.2,2101.6,1968.1,133.5,491.7,2/10/23,,,,,,,,2/15/23,2.116,2/23/23,44.00,13.00,2.466,,68.61,69.98,76.48,69.30,71.69,10.57,10.44,9.62,10.21,10.51,24.79,24.50,1777.20,1697.38,used photo B
